trip_headsign,shape_id,wheelchair_accessible,service_id,route_id,block_id,direction_id,trip_id,trip_short_name,wheelchair_boarding,bikes_allowed
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477934,1,1942738,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477931,1,1942731,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477935,1,1942739,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477930,1,1942730,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477932,1,1942733,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477936,1,1942732,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477940,1,1942735,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477930,1,1942734,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477931,1,1942737,,1,1
HAMILTON GO CENTRE,32176,0,3_merged_2034957,5303,b_477933,1,1942736,,1,1
DOWNTOWN,32207,0,1_merged_2034958,5308,b_478201,1,1946476,,1,1
DOWNTOWN,32207,0,1_merged_2034958,5308,b_478199,1,1946477,,1,1
HILLCREST LOOP,32205,0,1_merged_2034958,5308,b_478203,0,1946474,,1,1
HILLCREST LOOP,32205,0,1_merged_2034958,5308,b_478198,0,1946475,,1,1
HILLCREST LOOP,32205,0,1_merged_2034958,5308,b_478203,0,1946472,,1,1
HILLCREST LOOP,32205,0,1_merged_2034958,5308,b_478198,0,1946473,,1,1
BELL MANOR LOOP,31935,0,2_merged_2034952,5260,a_476076,0,1914321,,1,1
HILLCREST LOOP,32205,0,1_merged_2034958,5308,b_478200,0,1946470,,1,1
EASTGATE SQUARE,32172,0,2_merged_2034960,5302,b_477833,0,1941032,,1,1
HILLCREST LOOP,32205,0,1_merged_2034958,5308,b_478201,0,1946471,,1,1
EASTGATE SQUARE,32172,0,2_merged_2034960,5302,b_477834,0,1941031,,1,1
EASTGATE SQUARE,32172,0,2_merged_2034960,5302,b_477831,0,1941030,,1,1
BELL MANOR LOOP,31935,0,2_merged_2034952,5260,a_476067,0,1914325,,1,1
EASTGATE SQUARE,32172,0,2_merged_2034960,5302,b_477831,0,1941036,,1,1
